capability,driver_problem,experience_form,signal_composition,current_support,feasibility,provenance,driver_value,uniqueness,main_guard
Shift brief,"Tôi nên hình dung ca hôm nay thế nào?",brief,"shift window + first S2 plan + bonus/mission state + data confidence",all simulator inputs exist; no brief producer,small wiring,SIMULATED/MOCK,high,high,"one per shift; no popup budget"
Current plan strip,"Bây giờ và sắp tới khác nhau ra sao?",passive dashboard,"current action + future plan + validity",canonical fields exist,ready now for existing checkpoints,SIMULATED/MOCK,high,high,"code-owned wording; do not unsuppress maintenance as nudge"
Bonus feasibility,"Tôi có còn cơ hội đạt mốc không?",actionable nudge,"points + remaining time + acceptance/completion + personal rate",S1 READY exists,ready now after fact selection,SIMULATED/MOCK policy,high,medium,"no income promise; material-change dedup"
Bonus progress,"Tôi đang tiến gần mốc thế nào?",passive insight,"current points + next tier + rolling pace",solver facts exist; producer only risk-oriented,small wiring,SIMULATED/MOCK policy,medium,medium,"passive unless eligibility materially at risk"
Income pace,"Thu nhập ca này đang lệch mức thường của tôi không?",passive/composite,"intrashift payout curve + personal history + shift elapsed",journey and 90-day daily history exist,new internal projection,MOCK/PROXY,high,high,"baseline definition owner-approved; never promise outcome"
Mission progress,"Nhiệm vụ nào đang tiến triển và còn hiệu lực?",brief/passive,"mission catalog + progress + window + personal pace",S6 feature/solver and mock tables exist,small wiring after policy authority,MOCK,medium,medium,"mission is not personal goal or weekly quota"
Mission completion,"Tôi vừa hoàn thành giá trị gì?",passive toast/recap,"mission_completed event + reward source",event exists,ready now for passive UI,SIMULATED/MOCK,medium,low,"non-interruptive; dedup once per mission"
Swap soon,"Tôi có cần chuẩn bị pin trước khi ca bị gãy?",actionable nudge,"ONLINE now + future SWAP window + SOC trend + recent energy friction",future plan exists in suppressed maintenance,new producer/policy decision,SIMULATED; product needs REAL/LIVE SOC,high,high,"new topic/material revision; never mass-unsuppress ONLINE"
Swap now,"Pin đã tới ngưỡng cần đổi trong window hiện tại?",actionable nudge,"S2 current SWAP + validity + SOC + station caveat",READY exists,ready now in simulator; product blocked on SOC,SIMULATED,high,medium,"safe state only; station data must not be invented"
Energy disruption chain,"Vì sao kế hoạch pin thay đổi?",composite card,"SOC skips + prior plan + swap execution/failure + resulting SOC",events and links exist,new projection,SIMULATED,high,high,"coincident not causal; summarize only observed chain"
Station friction,"Đổi pin mất bao lâu hoặc có thất bại?",passive/recap,"swap wait/failure + station state + plan",sim events/state exist,simulator showcase only,SIMULATED,medium,high,"no live station occupancy contract; herding risk"
Rest window,"Nghỉ lúc nào ít làm gián đoạn kế hoạch?",actionable nudge,"S2/S7 plan + continuous online/rest + remaining shift",S2 READY; S7 multiday path exists,small wiring / multiday research,SIMULATED/INFERRED,high,high,"health is not optimized; moving gate mandatory"
Repeated long idle,"Tôi đang lặp lại các khoảng chờ dài?",passive/composite,"journey idle blocks + prior windows + current safe state",journey projection exists,new internal projection,SIMULATED/INFERRED,medium,high,"do not turn into target-zone advice"
Plan deviation,"Kế hoạch trước đó còn phù hợp sau những gì vừa xảy ra?",composite/actionable,"plan revision + actual segments + SOC/payout/points deltas",revision and segments exist,new projection + trigger contract,SIMULATED,high,very high,"only solver/rule may create new action"
Why plan changed,"Tại sao action/window vừa đổi?",composite explanation,"old/new checkpoint facts + changed inputs + caveats",records/artifacts exist,new immutable diff projection,SIMULATED/MOCK,high,very high,"explanation cannot alter canonical recommendation"
Empty-time efficiency,"Bao nhiêu thời gian chạy không khách so với có khách?",analytics/recap,"empty vs occupied segments + personal baseline",actor/segments exist,new projection,SIMULATED; real mapping needs trip/GPS,medium,medium,"not a standalone reposition instruction"
Cancellation recovery,"Một cuốc huỷ sau nhận ảnh hưởng ca thế nào?",passive recap,"wasted pickup time/SOC + later plan revision",event fields exist,new projection,SIMULATED,medium,high,"no blame; no causal income claim"
New-driver guarantee,"Tôi đang ở đâu trong chương trình tân binh?",brief/passive/recap,"tenure + guarantee floor + week trips + topup settlement",sim rules/events exist,new policy-backed producer,MOCK policy,high,high,"requires authoritative program policy"
End-shift decision,"Nên kết ca hay kéo dài trong giới hạn nào?",actionable nudge,"shift boundary + plan + bonus feasibility + safety gates",rule path exists but demo off,needs owner policy decision,SIMULATED,high,medium,"do not encourage unsafe extension"
Shift recap,"Hôm nay đã xảy ra gì và lời khuyên được xử lý thế nào?",recap,"journey + income sources + checkpoint lifecycle + execution links",all projections exist,no solver needed; small wiring,SIMULATED/MOCK,high,very high,"intent/execution/outcome shown separately; no uplift claim"
Rolling personal baseline,"Điều gì khác đáng kể so với chính tôi?",analytics/composite,"7-30 day payout/KPI/idle/rush distributions",90-day corpus and DriverMemory exist,new internal baseline contract,MOCK now; daily tables map to real,high,very high,"minimum history and seasonality; no cohort stereotyping"
