signal_group,raw_source,key_fields,horizon,current_consumer,current_checkpoint_reach,derived_value_candidate,real_data_feasibility,evidence_label,main_risk
Actor instantaneous,src/gsm_sim/entities.py Actor,"state,cell,lat,lon,soc_pct,shift_start_min,shift_end_min",instant,"World, S2, demo trace",partial,"safe-to-read state; remaining shift; energy state",new internal contract for SOC; state/location can map to app/GPS,"FACT; SIMULATED","SOC absent from 13 L1R tables; raw coordinates are PII-sensitive"
Actor operational counters,src/gsm_sim/entities.py Actor,"trips_done,orders_offered,orders_accepted,orders_completed,orders_cancelled,orders_soc_skipped",shift,"S1, metrics, demo snapshot",partial,"progress, funnel friction, repeated missed opportunity",daily KPI tables cover most counters; SOC-skip does not exist,"FACT; SIMULATED","accepted is intent/decision; must not infer execution or outcome"
Actor time ledger,src/gsm_sim/entities.py Actor,"online_min,empty_min,occupied_min,idle_min,rest_min,charge_min",shift,"journey, metrics, S7 memory",not in checkpoint,"utilization, idle trend, empty-share, recovery balance",online is real-data-ready; rest/idle need hex/activity inference; empty/occupied need trip/GPS contract,"FACT; SIMULATED; INFERRED when projected","dropoff/state boundary and activity inference confidence"
Energy state,src/gsm_sim/entities.py + world.py,"soc_pct,orders_soc_skipped,stranded_count,charge_min",instant/shift,"S2 and event log",SWAP/REST partial,"swap-soon, swap-now, energy disruption chain",new trusted SOC/runtime provider required,"FACT in sim; GAP in product","never substitute proxy/full battery for REAL/LIVE"
Offer decisions,src/gsm_sim/world.py + journey.py,"order_matched/order_declined/order_skipped_soc,reason,p_accept,pickup_km,net_vnd",event/window,"DriverJourney, acceptance metrics",S1 only indirectly,"aggregated friction and explanation of recent pattern",trip/dispatch event contract incomplete in catalog,"FACT; SIMULATED","must not advise accept/decline a specific order"
Trip lifecycle,src/gsm_sim/world.py,"matched,pickup,dropoff,cancel_after_accept; order_id,ETA,dist,gross",event,"demo trip projection, journey, payout",not a checkpoint producer,"trip progress, cancellation cost awareness, recap",L1R trips mock shape exists but production columns catalogued as missing,"FACT; SIMULATED","OSRM geometry must not overwrite canonical time/distance"
Execution segments,RunResult.segments + checkpoint_trace.py,"kind,t0,t1,from/to,dist,payout,segment_id",event/window,"journey, execution links, metrics",execution side-channel,"plan-vs-actual, time composition, chain reconstruction",needs stable segment/activity service contract,"FACT; SIMULATED","coincident does not mean causal"
Income curve,src/gsm_sim/journey.py,"trip payout,day bonus,mission,newbie over time",shift,"journey only",absent,"income pace and source decomposition",daily income is real-data-ready; intraday needs ledger/event feed,"FACT; SIMULATED","never promise future income or present gross as payout"
Daily incentive,S1 + world settlement,"points,day_bonus_tiers,acceptance,completion",shift,"S1 bonus feasibility",READY bonus only,"bonus progress/risk and final outcome",daily KPI + versioned policy mostly ready,"FACT; MOCK policy","policy freshness and source authority"
Mission state,world.py + config missions,"mission_progress,mission_completed,reward_vnd,window",event/shift,"settlement and mock L1R",absent,"mission progress, completion, recap",catalog/progress/earn schemas exist; several production columns remain unconfirmed,"FACT; MOCK","mission is not personal target or weekly quota"
