full_path,fields_known,reason_usage,priority,usecase,our_layer,pii_columns,availability,consumed_by,mockgen_strategy
gsm-data-prod.M_DRIVER_KPI_REWARD.driver_statistic_daily,"local_date, driver_id, completed_count, accepted_count, cancelled_count, total_request_calculate_complete, total_request_calculate_cancel, total_request_calculate_accept, count_cancel_not_relate_driver, total_rating, total_order_rating, count_rating_5_star, acceptance_rate, fulfillment_rate, cancellation_rate",Snapshot chỉ số vận doanh daily của tài xế,Ưu tiên cao nhất (KPI),UC1 Phân tích hiệu suất; UC4 Đánh giá KPI,L1' measured — daily KPI aggregate (thay/bổ sung DriverDayState),driver_id (pseudonymize),đủ 15 cột,"S1 bonus_feasibility, S3 f3_patterns, penalty-explain(UC6)",aggregate từ sim events; ràng buộc rate=count/request (acceptance=accepted/req…)
gsm-data-prod.M_DRIVER_KPI_REWARD.driver_online_hours_sap_id,"local_date, schedule_date, driver_id, full_name, sap_profile_id, hub_id, depot_id, phone_number, driver_type, online_time",Xác định số giờ online chính xác theo ngày/kỳ,Ưu tiên cao nhất (KPI),UC1 Phân tích hiệu suất,L1' — online hours (nuôi quỹ giờ/shift),"full_name, phone_number, sap_profile_id (DROP/hash)",đủ 10 cột,"S2 shift_dp, S5 weekly_khoan",online_time từ go_online/offline sim; driver_type/depot từ profile
gsm-data-prod.M_DRIVER_KPI_REWARD.driver_orders_rush_hours,"driver_id, local_date, total_order, commission, total_fee, revenue_not_relate_driver, total_order_normal_hour, commission_normal_hour, total_fee_normal_hour, revenue_not_relate_driver_normal_hour, total_order_rush_hour, commission_rush_hour, total_fee_rush_hour, revenue_not_relate_driver_rush_hour",Phân tích khung giờ chạy hiệu quả/kém,Ưu tiên cao nhất (KPI),UC2 Phân tích điểm cần cải thiện,L1' — revenue split rush/normal hour,driver_id,đủ 14 cột,"S2 shift_dp, S3",split trips theo khung rush; commission=gross×share; ràng buộc normal+rush=total
gsm-data-prod.M_DRIVER_KPI_REWARD.driver_bike_stoppoints,"driver_id, local_date, total_stoppoints, total_stoppoints_rush_hour",Xác định thói quen dừng đứng của tài xế,Ưu tiên cao nhất (KPI),UC2 Phân tích điểm cần cải thiện,L1' — stoppoints (idle proxy),driver_id,đủ 4 cột,"S3, idle-reduction(UC5)",đếm từ hex stay/idle segments sim; rush ⊆ total
gsm-data-prod.M_DRIVER_KPI_REWARD.kpi_driver_platform_calculator_gbq,"id, driver_id, driver_name, sap_id, status, week_key, week_start, week_end, kpi_month, kpi_year, email, tel, engname, depot_code, depot_name, vehicle_vin_number, vehicle_license_plate, vehicle_model, country, type, last_updated_date",Tính khoảng thiếu KPI target và thưởng,Ưu tiên cao nhất (KPI),UC3 Theo dõi tiến độ KPI/thưởng,L1' weekly KPI calculator — NỀN S5 weekly_khoan,"driver_name, sap_id, email, tel, vehicle_vin_number, vehicle_license_plate (DROP/hash)",đủ 21 cột; số TARGET/threshold cụ thể có thể ở meta/khác,S5 weekly_khoan,weekly rollup; vehicle/depot từ profile; target/mốc = policy_bundle config (versioned)
gsm-data-prod.M_DRIVER_KPI_REWARD.driver_income_daily,"driver_id, order_date, commission, total_order, total_fee, revenue_not_relate_driver, avg_daily_revenue, total_core_order",Theo dõi xu hướng thu nhập daily,Ưu tiên cao nhất (KPI),UC3 Tiến độ KPI; UC4 Khả năng đạt KPI,L1' — income daily (payout breakdown),driver_id,đủ 8 cột,"S1, S5, F3 payout_breakdown",commission=gross×share; total_core_order ⊆ total_order; avg=total_fee/total_order
gsm-data-prod.GSM_ORDER_DISPATCH_SERVICE_APPEND.trips,CHƯA CÓ CỘT (cacbangdabiet.xlsx),Tính toán mật độ cuốc thực tế theo vùng,Ưu tiên cao nhất (APPEND),UC5 Gợi ý hành vi chạy xe (Reduce Idle),L1' trip-level (~ TripRecord) — nền demand density,"driver_id, customer_id, lat/lon (hex-agg)",THIẾU CỘT → infer từ TripRecord ta + XIN GSM,"S4 capacity_alloc, demand density, idle(UC5)",tái dùng shape trip_record; aggregate ra mật độ theo hex×bucket
gsm-data-prod.GSM_MISSION_SERVICE_APPEND.public_driver_hex_tracking,"id, driver_id, campaign_id, log_id, init_hex, current_hex, last_hex, target_hex, last_seen_at, entered_current_hex_at, stay_duration_seconds, reached_target, reached_target_at, hex_history, created_at, updated_at, schedule_job_id, datastream_metadata, tracking_status",Xác định vị trí hiện tại và lịch sử hex zone,Ưu tiên cao nhất (APPEND),UC5 Reduce Idle,L1' hex movement (~ GPSPing aggregated to H3),driver_id; hex (coarse OK),đủ 19 cột,"idle-reduction(UC5), S4",từ chuỗi GPS→H3 sim; stay_duration từ idle; target_hex từ reposition mission
gsm-data-prod.M_DRIVER_KPI_REWARD.driver_penalization_ATA,CHƯA CÓ CỘT (cacbangdabiet.xlsx),Giải thích nguyên nhân hiệu suất thấp & rủi ro bị phạt,Ưu tiên cao nhất (KPI),UC6 Giải thích hiệu suất; UC8 Tránh vi phạm,L1' penalization events (clawback/deduction),driver_id,"THIẾU CỘT → infer {driver_id, date, penalty_type, amount_vnd, reason, week} + XIN","penalty-explain(UC6), F3",rule-based từ vi phạm conduct + clawback khoán tuần (hiếm)
gsm-data-prod.M_BROADCASTING_SERVICE_APPEND.public_frauds,CHƯA CÓ CỘT (cacbangdabiet.xlsx),Bắn cảnh báo rủi ro vi phạm hành vi,Ưu tiên cao nhất (APPEND),UC7 Cảnh báo lệch route/bất thường,L1' fraud/anomaly flags,driver_id,"THIẾU CỘT → infer {driver_id, t, fraud_type, severity, evidence_ref, status} + XIN",anomaly-alert(UC7),"flag hiếm rule-based (lệch route/bất thường) — nhãn INFERRED, không kết tội"
gsm-data-prod.GSM_MISSION_SERVICE_APPEND.public_user_mission_progress,CHƯA CÓ CỘT (cacbangdabiet.xlsx),Gợi ý mini task tăng thu nhập bổ sung,Ưu tiên cao nhất (APPEND),UC8 Hướng dẫn tránh bị trừ tiền / mini task,L1' mission progress (per driver × mission),driver_id,"THIẾU CỘT → infer {id, driver_id, mission_id, progress, target, state, updated_at} + XIN",S6 mission_knapsack(UC8),progress đối chiếu target trong public_mission; nhất quán với earn_history
gsm-data-prod.GSM_MISSION_SERVICE_APPEND.public_mission,"id, created_at, updated_at, deleted_at, created_by, updated_by, mission_type, parent_id, name, state, audience, description, start_time, end_time, point_id, rewards, mission_claim, mission_code, time_claim_reward, rule_code, meta_data, contract_type, qualify_execute_code, status, datastream_metadata, business_code, show_only, is_ddi_mission",Nhiệm vụ/mini task theo khung giờ,Ưu tiên cao nhất (APPEND),UC8 mini task theo khung giờ,"L0/L1' mission catalog (reference, time-windowed)",(catalog — không PII driver),đủ 28 cột,S6 mission_knapsack,"catalog mission: rewards, start/end_time (khung giờ), rule_code, audience"
gsm-data-prod.GSM_MISSION_SERVICE_APPEND.public_mission_earn_history,"id, created_at, updated_at, deleted_at, mission_id, order_id, order_status, driver_id, customer_id, service_type, order_time, complete_time, travel_mode, sap_contract_type, type, count_order, count_stoppoint, earn, description, datastream_metadata, reward_level",Lịch sử nhận thưởng nhiệm vụ của tài xế,Ưu tiên cao nhất (APPEND),UC3 Tiến độ KPI/thưởng; UC8 Mini task,L1' mission earn history (event),"driver_id, customer_id (DROP customer_id)",đủ 21 cột,"S6 mission_knapsack, income breakdown",từ mission hoàn thành × trips; earn từ public_mission.rewards; nhất quán progress
